title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"HAVELLS 15 L Storage Water Geyser (bianca 15, White, Blue)","₹11,440","11,440",25 Ratings & 2 Reviews,25,�2 ,"Storage Geyser15 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",37% off
"Hindware Smart Appliances 3 L Instant Water Geyser (Immedio 3 Ltr, White & Blue)","₹2,099","2,099","72,040 Ratings & 8,437 Reviews","72,040","�8,437 ","Instant Geyser3 L2 Years Comprehensive Warranty on Product, 2 Years Warranty on Heating Element and 5 Years Warranty on Tank",54% off
"HAVELLS 3 L Instant Water Geyser Color Changing LED Indicator, Rust & Shook Proof (INSTANIO, White-Mus...","₹3,638","3,638","19,316 Ratings & 1,952 Reviews","19,316","�1,952 ","Instant Geyser3 L5 year warranty on Inner Container, 2 year comprehensive Warranty",33% off
"BAJAJ 15 L Storage Water Geyser (Calenta, Blue)","₹8,499","8,499",303 Ratings & 37 Reviews,303,�37 ,Storage Geyser15 L2 Year Manufacturer Warranty,28% off
"Crompton 3 L Instant Water Geyser (Best Rapid Jet, White)","₹2,845","2,845",41 Ratings & 2 Reviews,41,�2 ,"Instant Geyser3 LTank: 5 years, Heating Element: 2 years, Product: 2 years",28% off
"BAJAJ 10 L Storage Water Geyser (Majesty PC Deluxe 10 L With Glasslined Technology, Black, Multicolor)","₹8,300","8,300","1,726 Ratings & 149 Reviews","1,726",�149 ,Storage Geyser10 LWarranty : 2 years on product,13% off
"Orient Electric 3 L Instant Water Geyser (WT0301P, White, White)","₹3,069","3,069",59 Ratings & 13 Reviews,59,�13 ,"Instant Geyser3 L5 years warranty on tank, 2 years on product",38% off
"STANDARD 25 L Storage Water Geyser (Amezer, White Blue)","₹8,290","8,290",23 Ratings & 1 Reviews,23,�1 ,Storage Geyser25 L7 years on tank and 2 years on product,23% off
"V-Guard 3 L Instant Water Geyser (Sprinhot, Ivory)","₹3,674","3,674",349 Ratings & 45 Reviews,349,�45 ,Instant Geyser3 L2 Years Manufacturer Warranty,18% off
"Crompton 15 L Storage Water Geyser (ICA-15L, WHITE/GREY)","₹6,499","6,499",19 Ratings & 1 Reviews,19,�1 ,"Storage Geyser15 LTank - 5 years, Element - 2 years, Product - 2 years",44% off
Crompton 10 L Storage Water Geyser (Regera 10 L With Superior Glasslined Technology & Free Installatio...,"₹6,990","6,990",21 Ratings & 2 Reviews,21,�2 ,"Storage Geyser10 L7 Years Inner Tank, 3 Years Element, 2 Years Product",30% off
"Crompton 3 L Instant Water Geyser (RAPIDJET Instant Water Geyser AIWH-3LRPIDJT3KW5Y, White)","₹2,549","2,549",20 Ratings & 1 Reviews,20,�1 ,"Instant Geyser3 LTank: 5 years, Heating Element: 2 years, Product: 2 years",42% off
"Racold 15 L Storage Water Geyser (CDR HORIZONTAL, Ivory, White)","₹8,739","8,739",34 Ratings & 4 Reviews,34,�4 ,Storage Geyser15 L2 Years  Product Warranty,20% off
"Venus 25 L Storage Water Geyser (MEGA PLUS, IVORY)","₹7,040","7,040","3,652 Ratings & 395 Reviews","3,652",�395 ,Storage Geyser25 L5 years manufacturer warranty,37% off
"V-Guard 15 L Storage Water Geyser (Sieta Series With PUF insulation & Adjustment knob, White)","₹7,190","7,190",4 Ratings & 1 Reviews,4,�1 ,"Storage Geyser15 L2 years on product, 3 years on heating element and 10 years on inner tank . During Installation Customer will choose to change interchange panel.3 others clr available.",42% off
"Kenstar 3 L Instant Water Geyser (Amelio, Royal Green)","₹2,689","2,689","3,298 Ratings & 308 Reviews","3,298",�308 ,"Instant Geyser3 L5 Years on Tank, 2 Years on Heating Element, 2 Years on Product",37% off
"Paragon 1.5 L Instant Water Geyser (Nano Model 1.5LTR, Green)","₹1,919","1,919",70 Ratings & 11 Reviews,70,�11 ,Instant Geyser1.5 LNA,26% off
"Sansui 15 L Storage Water Geyser (AquaZen-15L, White)","₹4,799","4,799",576 Ratings & 47 Reviews,576,�47 ,Storage Geyser15 L2 Years Warranty,58% off
"Crompton 6 L Storage Water Geyser (Rapid Jet Plus Turbo, White)","₹6,929","6,929",24 Ratings & 2 Reviews,24,�2 ,"Storage Geyser6 L2 Years Warranty on Product, 5 Years on Tank and 5 Years on Heating Element",27% off
"Orient Electric 25 L Storage Water Geyser (Aquator +, White, Grey)","₹9,359","9,359",51 Ratings & 4 Reviews,51,�4 ,"Storage Geyser25 L7 Years on Tank, 4 Years on Heating Element and 2 Years on Product",53% off
"Blowhot 10 L Storage Water Geyser (Rust Free Glass Line Tank, Digital Display, Auto CUT-OFF 2000 Watt,...","₹6,990","6,990",150 Ratings & 26 Reviews,150,�26 ,"Storage Geyser10 L1 Year General Warranty (5 Years Storage Tank, 2 Years Heating Element, 1 Year Solenoid Valve)",30% off
"BAJAJ 10 L Storage Water Geyser (SHAKTI PLUS 4 STAR, IVORY)","₹7,500","7,500","1,074 Ratings & 120 Reviews","1,074",�120 ,Storage Geyser10 L2 Year Manufacturer Warranty,N/A
"Venus 3 L Instant Water Geyser (Lyra 3R30, ivory, Orange)","₹4,361","4,361",38 Ratings & 3 Reviews,38,�3 ,Instant Geyser3 L7 Years on Heater Tank & 3 Years on Heating Element & 2 Years on Product,23% off
"Candes 10 L Storage Water Geyser (10LABS, Ivory)","₹3,459","3,459","3,038 Ratings & 544 Reviews","3,038",�544 ,"Storage Geyser10 L1 Year Warranty on Components & 4 Years Warranty on Inner Container  including On-Site & Off-Site, Domestic & International Warranty",51% off
DIGISMART 10 L Instant Water Geyser (3 KVA Ivory 0.7 mm Special Anti Rust Coated Tank Geyser with 5 Ye...,"₹2,699","2,699","5,474 Ratings & 1,770 Reviews","5,474","�1,770 ","Instant Geyser10 L5 Year Warranty On Inner Tank, 1 Year On Components",58% off
"Kanishka 3 L Instant Water Geyser (Arizona, White,yellow)","₹2,149","2,149",N/A,#VALUE!,#VALUE!,Instant Geyser3 L5 Years Warranty on Inner Container & 1 Year Warranty on Components including Domestic & International Warranty,72% off
"Crompton 35 L Storage Water Geyser (ARNO, White)","₹10,970","10,970",N/A,#VALUE!,#VALUE!,"Storage Geyser35 LTank: 5 years, Heating Element: 2 years, Product: 2 years",45% off
