title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
AISEN 7 kg Semi Automatic Top Load Washing Machine Blue,"₹8,490","8,490",N/A,#VALUE!,#VALUE!,1440 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor,22% off
"Equator 9/6 kg Washer with Dryer Sanitize, Allergen, Saree Cycle, Anti-Bacterial Drum Baffles Ready to...","₹37,548","37,548",N/A,#VALUE!,#VALUE!,1400 rpm Max SpeedWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,32% off
Godrej 7 kg Fully Automatic Top Load Washing Machine Black,"₹20,999","20,999",N/A,#VALUE!,#VALUE!,1400 RPM Max Speed5 Star Rating10 Year Warranty on Motor and 2 year Warranty on Entire Washing Machine?,32% off
"Voltas Beko 8 kg Semi Automatic Top Load Washing Machine Blue, White","₹9,890","9,890","6,464 Ratings & 444 Reviews","6,464",�444 ,1350 rpm Max Speed5 Star Rating1 Year Warranty on Product and 5 Years Warranty on Motor,47% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹35,990","35,990","1,087 Ratings & 71 Reviews","1,087",�71 ,1200 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,36% off
Whirlpool 7 kg Fully Automatic Top Load Washing Machine Maroon,"₹17,040","17,040",44 Ratings & 2 Reviews,44,�2 ,740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Whirlpool,16% off
Lloyd by Havells 9 kg Semi Automatic Top Load Washing Machine Pink,"₹14,580","14,580",8 Ratings & 1 Reviews,8,�1 ,"1300 RPM Max Speed5 Star Rating2 years on product, 5 years on motor",27% off
Haier 6.5 kg Fully Automatic Top Load Washing Machine Grey,"₹16,467","16,467",6 Ratings & 2 Reviews,6,�2 ,"800 RPM Max Speed5 Star Rating1 Year Comprehensive Warranty on Product, 10 Years Warranty on Motor",22% off
Lloyd by Havells 6.5 kg Fully Automatic Top Load Washing Machine Grey,"₹15,300","15,300",19 Ratings & 0 Reviews,19,�0 ,680 rpm Max Speed2 Years Comprehensive Warranty and 10 Years on Motor from Lloyd,21% off
"Godrej 7.2 kg Semi Automatic Top Load Washing Machine Red, White","₹12,290","12,290",4 Ratings & 1 Reviews,4,�1 ,1440 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Godrej,14% off
Haier 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹34,900","34,900",N/A,#VALUE!,#VALUE!,1200 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity2 Years Warranty on Product and 10 Years on Motor,35% off
"Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey, Black","₹16,940","16,940",N/A,#VALUE!,#VALUE!,740 rpm Max Speed5 Star RatingWith In-Built Heater1 Year Comprehensive Warranty on Product and 10 Years Warranty on Motor,20% off
SAMSUNG 7 kg Fully Automatic Top Load Washing Machine Grey,"₹21,790","21,790",35 Ratings & 2 Reviews,35,�2 ,"700 RPM Max Speed5 Star Rating3 Years warranty on product, 12 Years warranty on Digital Inverter Motor",12% off
Sharp 7.5 kg Fully Automatic Top Load Washing Machine Grey,"₹17,490","17,490",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years Warranty on Motor,28% off
Haier 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹37,500","37,500",6 Ratings & 0 Reviews,6,�0 ,1200 RPM Max Speed5 Star RatingWith In-Built Heater5 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor from Haier,22% off
"LG 11 kg 5 Star with Roller Jet Pulsator with Soak,� Wind Jet Dry and Rat Away, 8 Kg (Spin Tub Capacit...","₹18,990","18,990","4,542 Ratings & 351 Reviews","4,542",�351 ,1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,15% off
"Godrej 10 kg AXIS 5 star with Hexa Roller Impeller Washing Machine Semi Automatic Top Load Red, White","₹16,490","16,490",3 Ratings & 0 Reviews,3,�0 ,1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,23% off
NU 8 kg 5 Star & Glass Top Finish Fully Automatic Top Load Washing Machine Grey,"₹16,790","16,790",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,37% off
Godrej 6.5 kg Fully Automatic Top Load Washing Machine Red,"₹17,990","17,990",63 Ratings & 4 Reviews,63,�4 ,700 rpm Max Speed1 Year Comprehensive Warranty and 10 Years Warranty on Motor from Godrej,2% off
Godrej 7 kg Fully Automatic Top Load Washing Machine Grey,"₹19,369","19,369",N/A,#VALUE!,#VALUE!,1200 RPM Max Speed5 Star Rating10 Year Warranty on Motor and 2 year Warranty on Entire Washing Machine?,31% off
