air conditioner,,,,,,,
title,price,ac_price,rating,ac_rating,ac_reviews,description,discount
Daikin 2023 Model 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,"₹83,590","83,590","13,571 Ratings & 1,019 Reviews","13,571 ","�1,019 ","Annual Power Usage: 923.07 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",N/A
Lloyd 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,"₹38,317","38,317","8,657 Ratings & 1,179 Reviews","8,657 ","�1,179 ",Annual Power Usage: 999.49 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
LG Convertible 5-in-1 Cooling 1.5 Ton 5 Star Split Inverter AC  - White,"₹34,419","34,419","4,293 Ratings & 423 Reviews","4,293 ",�423 ,"Annual Power Usage: 520 kWhRoom Size: 111 - 150 sqft1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG",48% off
Lloyd 2023 Model 2 Ton 3 Star Split Inverter AC  - White,"₹47,490","47,490","8,657 Ratings & 1,179 Reviews","8,657 ","�1,179 ",Annual Power Usage: 1261.37 kWhRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,39% off
Daikin 1.5 Ton 3 Star Split AC with PM 2.5 Filter  - White,"₹39,990","39,990","5,387 Ratings & 406 Reviews","5,387 ",�406 ,Annual Power Usage: 989.31 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years on Compressor,28% off
CARRIER 2 Ton 3 Star Split Inverter AC  - White,"₹48,990","48,990",134 Ratings & 8 Reviews,134 ,�8 ,"Annual Power Usage: 1249.82 WRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",39% off
Godrej 5-in-1 Convertible Cooling 2.5 Ton 3 Star Split Inverter With 4 Way Air Swing and Heavy Duty Co...,"₹51,900","51,900","1,045 Ratings & 63 Reviews","1,045 ",�63 ,"Annual Power Usage: 1330.81 W5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",23% off
Godrej 1.5 Ton 3 Star Window AC  - White,"₹28,449","28,449","1,037 Ratings & 89 Reviews","1,037 ",�89 ,Annual Power Usage: 1203.74 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,32% off
Voltas 1 Ton 3 Star Split Inverter AC  - White,"₹30,990","30,990","15,528 Ratings & 785 Reviews","15,528 ",�785 ,Annual Power Usage: 682.59 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,45% off
"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...","₹45,990","45,990","4,333 Ratings & 342 Reviews","4,333 ",�342 ,"Annual Power Usage: 744.99 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)",46% off
Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹69,323","69,323",591 Ratings & 83 Reviews,591 ,�83 ,Annual Power Usage: 794.34 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,N/A
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 6th Sense Technology AC ...,"₹42,500","42,500","7,396 Ratings & 599 Reviews","7,396 ",�599 ,Annual Power Usage: 761.33 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,39% off
Blue Star 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,"₹38,890","38,890","5,110 Ratings & 446 Reviews","5,110 ",�446 ,"Annual Power Usage: 517.83 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",39% off
Lloyd 2023 Model 1 Ton 2 Star Window AC  - White,"₹25,390","25,390","2,055 Ratings & 262 Reviews","2,055 ",�262 ,Annual Power Usage: 808.94 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,36% off
"Haier 1 Ton 5 Star Split Inverter with Anti Bacterial Filter, 60 High Ambient Performance, 20 Mtrs Air...","₹36,990","36,990","1,295 Ratings & 129 Reviews","1,295 ",�129 ,Annual Power Usage: 541.48 WRoom Size: 90 sqft or Below5 Years Warranty on Product and 12 Years Warranty on Compressor,44% off
Admiral 2024 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing AC  - White,"₹32,990","32,990",49 Ratings & 9 Reviews,49 ,�9 ,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft3 Years on Product and 10 Years on Compressor,19% off
"Godrej 1.5 Ton 5 Star Split Inverter 2023 Model, Blue Fin Anti Corrosive Coating AC  - White","₹38,699","38,699",570 Ratings & 56 Reviews,570 ,�56 ,"Annual Power Usage: 765.86 kWhRoom Size: 111 - 150 sqft10 years warranty on Inverter compressor,5 years warranty on PCB &1 year comprehensive warranty.",29% off
Voltas 1.5 Ton 5 Star Window AC  - White,"₹34,690","34,690","10,293 Ratings & 904 Reviews","10,293 ",�904 ,Annual Power Usage: 1157.29 kWhRoom Size: 111 - 150 sqft1 Year on Product and 5 Years on Compressor,N/A
ONIDA Convertible 5-in-1 Cooling 1 Ton 3 Star Split Inverter AC  - White,"₹26,990","26,990","7,058 Ratings & 808 Reviews","7,058 ",�808 ,Annual Power Usage: 674.08 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years Warranty on Compressor,34% off
Daikin 2023 Model 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,"₹27,299","27,299","5,387 Ratings & 406 Reviews","5,387 ",�406 ,Annual Power Usage: 548.84 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years on Compressor,27% off
Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,"₹43,990","43,990","2,360 Ratings & 252 Reviews","2,360 ",�252 ,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Admiral 2024 Model 1.5 Ton 3 Star Split Inverter 4 Way Swing AC  - White,"₹28,990","28,990",49 Ratings & 9 Reviews,49 ,�9 ,Annual Power Usage: 1011.43 WRoom Size: 111 - 150 sqft3 Years on Product and 10 Years on Compressor,13% off
IFB 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi-fi Connect  - White,"₹41,490","41,490",7 Ratings & 0 Reviews,7 ,�0 ,"Annual Power Usage: 1002.83 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",43% off
Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,"₹28,999","28,999","1,037 Ratings & 89 Reviews","1,037 ",�89 ,Annual Power Usage: 1216.12 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on AC and 5 Years Warranty on Compressor,30% off
"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 5 Star Split Inverter Smart Ready, 7 Stage...","₹42,990","42,990","6,746 Ratings & 584 Reviews","6,746 ",�584 ,"Annual Power Usage: 798.18 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 4 Years Super Warranty (T&C Apply), 5 Years Warranty on ODU PCB and 10 Years Warranty on Compressor from IFB",25% off
Lloyd 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹41,809","41,809",848 Ratings & 148 Reviews,848 ,�148 ,Annual Power Usage: 1002.76 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years on Compressor,32% off
SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,"₹31,990","31,990","6,410 Ratings & 475 Reviews","6,410 ",�475 ,Annual Power Usage: 624.48 kWhRoom Size: 90 sqft or Below1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,39% off
Blue Star 2 Ton 3 Star Split Inverter AC  - White,"₹49,439","49,439","5,110 Ratings & 446 Reviews","5,110 ",�446 ,Annual Power Usage: 1251.08 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,19% off
LG Super Convertible 5-in-1 Cooling 2023 Model 2 Ton 3 Star Hot and Cold Split Inverter HD Filter with...,"₹64,490","64,490","4,293 Ratings & 423 Reviews","4,293 ",�423 ,"Annual Power Usage: 1230.49 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging",28% off
"Godrej 1 Ton 3 Star Split Inverter With Anti-Virus Protection AC  - White, Gold","₹32,631","32,631","3,895 Ratings & 302 Reviews","3,895 ",�302 ,Annual Power Usage: 752.58 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years on Compressor,11% off
